Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1684     0.00     0.00  std::_Rb_tree<std::pair<std::pair<int, int>, std::pair<int, int> >, std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > >, std::_Select1st<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::_M_end()
  0.00      0.00     0.00     1638     0.00     0.00  std::_Rb_tree<std::pair<std::pair<int, int>, std::pair<int, int> >, std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > >, std::_Select1st<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::key_comp() const
  0.00      0.00     0.00     1637     0.00     0.00  std::_Rb_tree<std::pair<std::pair<int, int>, std::pair<int, int> >, std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > >, std::_Select1st<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::lower_bound(std::pair<std::pair<int, int>, std::pair<int, int> > const&)
  0.00      0.00     0.00     1632     0.00     0.00  std::map<std::pair<std::pair<int, int>, std::pair<int, int> >, std::vector<int, std::allocator<int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::operator[](std::pair<std::pair<int, int>, std::pair<int, int> > const&)
  0.00      0.00     0.00     1627     0.00     0.00  std::_Rb_tree<std::pair<std::pair<int, int>, std::pair<int, int> >, std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > >, std::_Select1st<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::end()
  0.00      0.00     0.00     1608     0.00     0.00  std::_Rb_tree<std::pair<std::pair<int, int>, std::pair<int, int> >, std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > >, std::_Select1st<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::_M_begin()
  0.00      0.00     0.00     1593     0.00     0.00  std::_Rb_tree<std::pair<std::pair<int, int>, std::pair<int, int> >, std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > >, std::_Select1st<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > >*, std::_Rb_tree_node_base*, std::pair<std::pair<int, int>, std::pair<int, int> > const&)
  0.00      0.00     0.00     1583     0.00     0.00  std::map<std::pair<std::pair<int, int>, std::pair<int, int> >, std::vector<int, std::allocator<int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::lower_bound(std::pair<std::pair<int, int>, std::pair<int, int> > const&)
  0.00      0.00     0.00     1576     0.00     0.00  std::map<std::pair<std::pair<int, int>, std::pair<int, int> >, std::vector<int, std::allocator<int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::key_comp() const
  0.00      0.00     0.00     1574     0.00     0.00  std::map<std::pair<std::pair<int, int>, std::pair<int, int> >, std::vector<int, std::allocator<int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<std::pair<int, int>, std::pair<int, int> > const, std::vector<int, std::allocator<int> > > > >::end()
